DATE,OPCNRE01DEQ661N
1960-01-01,13.6
1960-04-01,14.0
1960-07-01,14.2
1960-10-01,14.3
1961-01-01,14.6
1961-04-01,14.7
1961-07-01,15.5
1961-10-01,15.8
1962-01-01,15.9
1962-04-01,16.4
1962-07-01,16.6
1962-10-01,16.8
1963-01-01,16.9
1963-04-01,17.2
1963-07-01,17.3
1963-10-01,17.4
1964-01-01,17.6
1964-04-01,18.1
1964-07-01,18.2
1964-10-01,18.3
1965-01-01,18.5
1965-04-01,18.9
1965-07-01,19.1
1965-10-01,19.1
1966-01-01,19.2
1966-04-01,19.5
1966-07-01,19.5
1966-10-01,19.5
1967-01-01,19.2
1967-04-01,19.1
1967-07-01,19.0
1967-10-01,18.8
1968-01-01,19.7
1968-04-01,19.7
1968-07-01,20.0
1968-10-01,20.0
1969-01-01,20.1
1969-04-01,20.6
1969-07-01,21.2
1969-10-01,22.1
1970-01-01,23.4
1970-04-01,24.5
1970-07-01,24.8
1970-10-01,25.0
1971-01-01,25.8
1971-04-01,27.1
1971-07-01,27.5
1971-10-01,27.6
1972-01-01,28.1
1972-04-01,28.8
1972-07-01,29.1
1972-10-01,29.3
1973-01-01,29.7
1973-04-01,31.1
1973-07-01,31.4
1973-10-01,31.4
1974-01-01,32.1
1974-04-01,33.4
1974-07-01,33.7
1974-10-01,33.5
1975-01-01,33.5
1975-04-01,34.1
1975-07-01,34.1
1975-10-01,34.1
1976-01-01,34.3
1976-04-01,35.3
1976-07-01,35.5
1976-10-01,35.8
1977-01-01,35.9
1977-04-01,36.7
1977-07-01,37.1
1977-10-01,37.3
1978-01-01,37.9
1978-04-01,38.9
1978-07-01,39.6
1978-10-01,39.8
1979-01-01,40.4
1979-04-01,42.3
1979-07-01,43.4
1979-10-01,43.9
1980-01-01,45.3
1980-04-01,47.2
1980-07-01,47.7
1980-10-01,48.1
1981-01-01,48.5
1981-04-01,50.0
1981-07-01,50.3
1981-10-01,50.4
1982-01-01,50.8
1982-04-01,51.3
1982-07-01,51.5
1982-10-01,51.3
1983-01-01,51.4
1983-04-01,52.1
1983-07-01,52.8
1983-10-01,53.0
1984-01-01,53.2
1984-04-01,53.8
1984-07-01,53.9
1984-10-01,53.8
1985-01-01,53.8
1985-04-01,53.7
1985-07-01,54.0
1985-10-01,54.0
1986-01-01,54.1
1986-04-01,54.6
1986-07-01,54.7
1986-10-01,54.8
1987-01-01,55.0
1987-04-01,55.6
1987-07-01,55.8
1987-10-01,55.9
1988-01-01,56.0
1988-04-01,56.7
1988-07-01,57.2
1988-10-01,57.4
1989-01-01,57.9
1989-04-01,58.6
1989-07-01,59.3
1989-10-01,59.6
1990-01-01,61.0
1990-04-01,62.5
1990-07-01,63.3
1990-10-01,63.8
1991-01-01,64.9
1991-04-01,67.0
1991-07-01,67.8
1991-10-01,68.4
1992-01-01,69.7
1992-04-01,71.1
1992-07-01,72.1
1992-10-01,72.4
1993-01-01,73.7
1993-04-01,74.9
1993-07-01,75.4
1993-10-01,75.4
1994-01-01,75.8
1994-04-01,76.6
1994-07-01,77.0
1994-10-01,77.2
1995-01-01,77.8
1995-04-01,78.6
1995-07-01,78.6
1995-10-01,78.6
1996-01-01,78.4
1996-04-01,78.3
1996-07-01,78.3
1996-10-01,78.0
1997-01-01,77.9
1997-04-01,77.7
1997-07-01,77.7
1997-10-01,77.4
1998-01-01,77.2
1998-04-01,77.6
1998-07-01,77.5
1998-10-01,77.4
1999-01-01,77.2
1999-04-01,77.2
1999-07-01,77.2
1999-10-01,77.2
2000-01-01,77.3
2000-04-01,77.4
2000-07-01,77.4
2000-10-01,77.4
2001-01-01,77.4
2001-04-01,77.4
2001-07-01,77.4
2001-10-01,77.2
2002-01-01,77.3
2002-04-01,77.4
2002-07-01,77.4
2002-10-01,77.3
2003-01-01,77.4
2003-04-01,77.4
2003-07-01,77.4
2003-10-01,77.4
2004-01-01,77.5
2004-04-01,78.4
2004-07-01,78.6
2004-10-01,78.7
2005-01-01,79.1
2005-04-01,79.0
2005-07-01,79.1
2005-10-01,79.2
2006-01-01,79.5
2006-04-01,80.0
2006-07-01,81.0
2006-10-01,81.8
2007-01-01,85.2
2007-04-01,85.7
2007-07-01,86.2
2007-10-01,86.5
2008-01-01,87.4
2008-04-01,88.2
2008-07-01,89.1
2008-10-01,89.0
2009-01-01,89.2
2009-04-01,89.0
2009-07-01,89.2
2009-10-01,89.2
2010-01-01,89.3
2010-04-01,90.0
2010-07-01,90.3
2010-10-01,90.6
2011-01-01,91.7
2011-04-01,92.3
2011-07-01,92.9
2011-10-01,93.2
2012-01-01,94.2
2012-04-01,94.7
2012-07-01,95.2
2012-10-01,95.5
2013-01-01,96.2
2013-04-01,96.7
2013-07-01,97.1
2013-10-01,97.3
2014-01-01,98.1
2014-04-01,98.3
2014-07-01,98.7
2014-10-01,98.9
2015-01-01,99.6
2015-04-01,99.8
2015-07-01,100.2
2015-10-01,100.4
2016-01-01,101.2
2016-04-01,101.9
2016-07-01,102.4
2016-10-01,102.7
2017-01-01,104.0
2017-04-01,104.9
2017-07-01,105.7
2017-10-01,106.4
2018-01-01,108.2
2018-04-01,109.2
2018-07-01,110.6
2018-10-01,111.5
2019-01-01,113.4
2019-04-01,114.3
2019-07-01,115.1
2019-10-01,115.7
2020-01-01,117.2
2020-04-01,117.7
2020-07-01,115.1
2020-10-01,115.6
2021-01-01,120.8
2021-04-01,125.2
2021-07-01,129.6
2021-10-01,132.3
2022-01-01,138.1
2022-04-01,147.2
2022-07-01,151.0
2022-10-01,154.7
