DATE,LFEACNTTDEQ647S
2005-01-01,2344553.8210302996
2005-04-01,2415814.5527552203
2005-07-01,2378816.31702533
2005-10-01,2443815.30918916
2006-01-01,2374847.9642133503
2006-04-01,2427666.38035048
2006-07-01,2485829.34162938
2006-10-01,2491256.3138067797
2007-01-01,2522118.0524839
2007-04-01,2546417.99258721
2007-07-01,2535600.73032106
2007-10-01,2496163.2246078304
2008-01-01,2587492.12552166
2008-04-01,2542982.42243409
2008-07-01,2585327.16824859
2008-10-01,2538398.28379566
2009-01-01,2560689.80417082
2009-04-01,2515796.92088985
2009-07-01,2572772.37592761
2009-10-01,2614540.89901172
2010-01-01,2446923.70388717
2010-04-01,2468139.3051046003
2010-07-01,2602888.62562575
2010-10-01,2600748.36538247
2011-01-01,2508129.8170125503
2011-04-01,2570944.59039719
2011-07-01,2626010.5359772
2011-10-01,2601715.0566130597
2012-01-01,2569401.89257898
2012-04-01,2616720.62753002
2012-07-01,2675732.46037357
2012-10-01,2631845.01951743
2013-01-01,2606641.04255212
2013-04-01,2695180.55721788
2013-07-01,2743760.68612601
2013-10-01,2695317.71410398
2014-01-01,2667822.09645148
2014-04-01,2731118.98678428
2014-07-01,2763464.29729262
2014-10-01,2764594.61947162
2015-01-01,2744050.8103687097
2015-04-01,2718581.54944041
2015-07-01,2727835.0590037596
2015-10-01,2706032.58118711
2016-01-01,2678054.1014281
2016-04-01,2776489.03784935
2016-07-01,2813996.46105688
2016-10-01,2766860.39966566
2017-01-01,2774709.77878376
2017-04-01,2867624.3904327597
2017-07-01,2902020.23346537
2017-10-01,2805045.5973181203
2018-01-01,2745399.32034226
2018-04-01,2848978.4272161
2018-07-01,2891690.93528819
2018-10-01,2800931.31715345
2019-01-01,2874956.77824512
2019-04-01,2875868.6562819397
2019-07-01,2896985.22625058
2019-10-01,2790589.3392223604
2020-01-01,2372513.01489328
2020-04-01,2289618.11748919
2020-07-01,2334607.84392755
2020-10-01,2321261.02368998
2021-01-01,2395955.5390025396
2021-04-01,2421908.6664196104
2021-07-01,2484834.2417305396
2021-10-01,2479701.55284731
2022-01-01,2406048.3739517997
2022-04-01,2508793.74200523
2022-07-01,2689579.3383333497
2022-10-01,2704678.5457096198
