DATE,LFAC64TTDEQ647S
2005-01-01,40115644.432584696
2005-04-01,40396641.5277498
2005-07-01,40538070.6789331
2005-10-01,40594343.360732496
2006-01-01,40736122.2037426
2006-04-01,40830093.278344296
2006-07-01,40825739.8562853
2006-10-01,41106044.6616278
2007-01-01,40830329.922204904
2007-04-01,40924633.1070096
2007-07-01,41067200.1346596
2007-10-01,41145336.836125895
2008-01-01,41062705.3764338
2008-04-01,40937976.032506205
2008-07-01,41131326.4340026
2008-10-01,40997492.1570574
2009-01-01,40267374.1807015
2009-04-01,40242565.4126175
2009-07-01,40151342.9585357
2009-10-01,40565717.4481452
2010-01-01,39511871.3613447
2010-04-01,39422930.4882251
2010-07-01,39468519.5815966
2010-10-01,39528678.5688335
2011-01-01,39562735.329433195
2011-04-01,39736732.487271
2011-07-01,39853424.7760373
2011-10-01,39914107.4072586
2012-01-01,39711831.6423458
2012-04-01,39807423.6318971
2012-07-01,39999899.1238562
2012-10-01,39980845.601900995
2013-01-01,40024155.214675896
2013-04-01,40240885.72011469
2013-07-01,40133262.0521309
2013-10-01,40196697.013078496
2014-01-01,40234134.3115234
2014-04-01,40304948.5440308
2014-07-01,40393263.0795659
2014-10-01,40376654.064879805
2015-01-01,40392112.4150796
2015-04-01,40379296.0184301
2015-07-01,40338292.4409898
2015-10-01,40727299.1255006
2016-01-01,41209055.1031384
2016-04-01,41185514.4114966
2016-07-01,41331831.5334896
2016-10-01,41380598.9518755
2017-01-01,41321959.0712383
2017-04-01,41399300.501352996
2017-07-01,41611501.273139805
2017-10-01,41456239.1542689
2018-01-01,41469727.2965464
2018-04-01,41410347.5580852
2018-07-01,41517127.621423095
2018-10-01,41426797.5239452
2019-01-01,41777799.943127
2019-04-01,41664997.7773714
2019-07-01,41710892.2185326
2019-10-01,42008310.060969
2020-01-01,41308247.0957621
2020-04-01,41178012.4002862
2020-07-01,41105660.5882145
2020-10-01,41066079.915737204
2021-01-01,41352815.4148962
2021-04-01,41563988.27563959
2021-07-01,41853421.7476976
2021-10-01,41927374.5617668
2022-01-01,42209365.947390705
2022-04-01,42520237.6884843
2022-07-01,42499551.7339818
2022-10-01,42611644.6301432
