DATE,LFEACNTTIEQ647S
1998-04-01,126229.425842138
1998-07-01,128836.901137985
1998-10-01,132480.413851932
1999-01-01,137135.45549456298
1999-04-01,142543.39861832
1999-07-01,149077.69577692202
1999-10-01,154899.81587967303
2000-01-01,160950.384904691
2000-04-01,167492.83362658697
2000-07-01,172838.054866891
2000-10-01,177418.726601832
2001-01-01,180563.47368131301
2001-04-01,182335.396000049
2001-07-01,183673.92063121402
2001-10-01,184227.20968742398
2002-01-01,185300.834123459
2002-04-01,185152.249591806
2002-07-01,187796.97163642102
2002-10-01,189849.944648314
2003-01-01,190716.136636297
2003-04-01,194270.234647947
2003-07-01,196565.48729410098
2003-10-01,199348.141421655
2004-01-01,204192.910324255
2004-04-01,208565.009270178
2004-07-01,218101.874729998
2004-10-01,226540.205675569
2005-01-01,234990.471968789
2005-04-01,243695.125252272
2005-07-01,248485.10729883198
2005-10-01,253629.295480108
2006-01-01,259616.254320456
2006-04-01,267690.64402869996
2006-07-01,276848.327286056
2006-10-01,281744.77436478704
2007-01-01,288612.96961274097
2007-04-01,289259.093433711
2007-07-01,280475.054873352
2007-10-01,269552.882080196
2008-01-01,225873.712447277
2008-04-01,223257.556000396
2008-07-01,201049.254431428
2008-10-01,181219.477120899
2009-01-01,154646.08347178798
2009-04-01,132326.846210544
2009-07-01,129488.291228394
2009-10-01,116738.779089274
2010-01-01,107942.108131623
2010-04-01,102681.844296541
2010-07-01,96044.9231273688
2010-10-01,92131.124444467
2011-01-01,90031.33532708991
2011-04-01,88076.4979224001
2011-07-01,87987.33671799251
2011-10-01,86604.8300325175
2012-01-01,84808.2657736
2012-04-01,82944.1686160394
2012-07-01,82058.20671341929
2012-10-01,83789.3588969413
2013-01-01,83192.27965994319
2013-04-01,85746.4187839896
2013-07-01,87349.206233709
2013-10-01,87412.0953223582
2014-01-01,88500.74460878411
2014-04-01,91445.91812794139
2014-07-01,95220.251390966
2014-10-01,99933.0858723085
2015-01-01,104695.948160152
2015-04-01,107990.029729187
2015-07-01,110646.05208209499
2015-10-01,111767.970028566
2016-01-01,115311.87209388899
2016-04-01,117127.009440001
2016-07-01,119870.005637218
2016-10-01,122091.112828892
2017-01-01,123670.558413178
2017-04-01,127444.407442184
2017-07-01,129029.013613633
2017-10-01,134556.020531005
2018-01-01,139065.13448457
2018-04-01,142725.50850543
2018-07-01,145609.502199035
2018-10-01,146099.85481096501
2019-01-01,145368.111683636
2019-04-01,149420.64626717102
2019-07-01,148077.048912273
2019-10-01,145034.19313692002
2020-01-01,147371.050343316
2020-04-01,134988.788689369
2020-07-01,134199.445496733
2020-10-01,132140.71547058198
2021-01-01,126690.07925124
2021-04-01,132859.366362571
2021-07-01,142011.817317895
2021-10-01,152838.737068294
2022-01-01,160361.689728179
2022-04-01,167792.586137473
2022-07-01,167830.669575244
2022-10-01,164815.054559104
