DATE,LFEACNTTITQ647S
1998-01-01,1542675.2245827299
1998-04-01,1539075.4989352599
1998-07-01,1541534.98721209
1998-10-01,1552514.28926993
1999-01-01,1551610.47250303
1999-04-01,1576847.52006911
1999-07-01,1580542.3142349
1999-10-01,1592199.69319296
2000-01-01,1596288.7255457998
2000-04-01,1604300.93386242
2000-07-01,1623444.28195132
2000-10-01,1648566.05864046
2001-01-01,1679484.26358242
2001-04-01,1705102.48092453
2001-07-01,1720871.5624345
2001-10-01,1723941.69305854
2002-01-01,1729187.02032307
2002-04-01,1727647.35120659
2002-07-01,1758070.65106572
2002-10-01,1775294.97740461
2003-01-01,1803571.30943821
2003-04-01,1819007.68633846
2003-07-01,1800862.00581478
2003-10-01,1812158.99840855
2004-01-01,1792268.16957662
2004-04-01,1818253.22730404
2004-07-01,1851611.5995002799
2004-10-01,1868567.00361906
2005-01-01,1907277.57582811
2005-04-01,1915475.20926283
2005-07-01,1915410.86830745
2005-10-01,1912036.3466016098
2006-01-01,1899490.48299542
2006-04-01,1892096.70080952
2006-07-01,1888583.54068105
2006-10-01,1920929.275514
2007-01-01,1927783.66674262
2007-04-01,1967036.4456084701
2007-07-01,1959023.20415395
2007-10-01,1966856.68349496
2008-01-01,1954515.1274587698
2008-04-01,1956902.51234323
2008-07-01,1958606.94658037
2008-10-01,1940075.41361763
2009-01-01,1924988.15371976
2009-04-01,1905887.51419721
2009-07-01,1906000.26034186
2009-10-01,1929324.07174117
2010-01-01,1910625.1450791
2010-04-01,1898526.6502886
2010-07-01,1883104.6769606401
2010-10-01,1863843.52767167
2011-01-01,1823853.44926782
2011-04-01,1818966.46405511
2011-07-01,1782947.5504465199
2011-10-01,1738832.53623055
2012-01-01,1746800.8109859
2012-04-01,1731319.75923263
2012-07-01,1673028.99941509
2012-10-01,1648450.4303663801
2013-01-01,1583088.67968416
2013-04-01,1551159.235972
2013-07-01,1541026.6130067
2013-10-01,1537525.47133714
2014-01-01,1498614.58639459
2014-04-01,1481091.80224362
2014-07-01,1490565.20746458
2014-10-01,1465328.4038972
2015-01-01,1477745.1607600302
2015-04-01,1489391.0143701101
2015-07-01,1466657.50508323
2015-10-01,1439006.31978663
2016-01-01,1416179.8144636801
2016-04-01,1417352.2285776301
2016-07-01,1390005.7021795001
2016-10-01,1391462.25477919
2017-01-01,1422792.0485279602
2017-04-01,1410288.53336034
2017-07-01,1414386.68346273
2017-10-01,1415632.73464897
2018-01-01,1403122.8933168
2018-04-01,1408039.41704141
2018-07-01,1409492.7213721701
2018-10-01,1406544.96826962
2019-01-01,1350359.26512647
2019-04-01,1342049.40545164
2019-07-01,1329927.02177773
2019-10-01,1335164.30764416
2020-01-01,1349542.37812486
2020-04-01,1346710.46182293
2020-07-01,1370850.24003634
2020-10-01,1364696.9200158701
2021-01-01,1388722.80554289
2021-04-01,1414116.5573120299
2021-07-01,1432908.16435336
2021-10-01,1487452.4727917302
2022-01-01,1509694.40856231
2022-04-01,1565436.07773952
2022-07-01,1561324.1038474
2022-10-01,1566245.4098507701
