DATE,LFAC64TTITQ647S
1998-01-01,22638193.0455984
1998-04-01,22835182.5123139
1998-07-01,22878155.7327095
1998-10-01,22952268.7093782
1999-01-01,22963202.7069459
1999-04-01,23011099.247980602
1999-07-01,23056658.741422202
1999-10-01,23040739.3036513
2000-01-01,23076885.9355933
2000-04-01,23174620.5488738
2000-07-01,23315438.7236107
2000-10-01,23389154.7919222
2001-01-01,23426365.3968055
2001-04-01,23326667.6739445
2001-07-01,23482418.227101102
2001-10-01,23478548.7021489
2002-01-01,23568683.7239532
2002-04-01,23620062.843425
2002-07-01,23684056.133082997
2002-10-01,23652097.2995388
2003-01-01,23735206.2740185
2003-04-01,23841563.979996298
2003-07-01,23872270.1609672
2003-10-01,23739559.5850179
2004-01-01,23887329.028492
2004-04-01,23922173.106433
2004-07-01,23966566.1687115
2004-10-01,24056531.6963635
2005-01-01,23981628.4987094
2005-04-01,23921646.4230563
2005-07-01,23812759.6207443
2005-10-01,24017565.45749
2006-01-01,24114070.148995202
2006-04-01,24088807.3949602
2006-07-01,23946030.7365835
2006-10-01,24001591.7194611
2007-01-01,23808032.3443415
2007-04-01,23885789.6834805
2007-07-01,24136167.013349
2007-10-01,24153110.958828997
2008-01-01,24282425.8404784
2008-04-01,24448675.946964398
2008-07-01,24403758.6832866
2008-10-01,24291139.5292706
2009-01-01,24116155.938598
2009-04-01,24102482.8801972
2009-07-01,24043153.3012655
2009-10-01,23992207.8799393
2010-01-01,24082948.5058421
2010-04-01,24112374.1842226
2010-07-01,23879182.3538593
2010-10-01,24064494.956076
2011-01-01,24117601.0821422
2011-04-01,24068359.0189102
2011-07-01,24033088.7567508
2011-10-01,24253951.1421968
2012-01-01,24559653.3743441
2012-04-01,24716090.1856109
2012-07-01,24529260.6401827
2012-10-01,24599995.7998624
2013-01-01,24595183.5425378
2013-04-01,24467122.407697998
2013-07-01,24404541.217150398
2013-10-01,24493152.832613703
2014-01-01,24642398.6724469
2014-04-01,24601270.2558587
2014-07-01,24680659.466264397
2014-10-01,24773671.60543
2015-01-01,24626157.246404096
2015-04-01,24719081.8899767
2015-07-01,24573177.4522983
2015-10-01,24613583.4113209
2016-01-01,24692980.3703395
2016-04-01,25028221.804827698
2016-07-01,24959383.999435797
2016-10-01,24939413.825397
2017-01-01,24996822.9983617
2017-04-01,25021946.9029713
2017-07-01,25123348.640269503
2017-10-01,24952881.4583975
2018-01-01,25017396.6962194
2018-04-01,25265149.8379453
2018-07-01,24897073.3724761
2018-10-01,24933380.0933591
2019-01-01,25016323.7290848
2019-04-01,25112172.2606294
2019-07-01,24918547.1921124
2019-10-01,24824956.8181734
2020-01-01,24511333.885676302
2020-04-01,23299270.832277402
2020-07-01,24278333.8960408
2020-10-01,23947061.3860056
2021-01-01,23729456.700674497
2021-04-01,24224522.3293197
2021-07-01,24456937.5964825
2021-10-01,24379183.373523198
2022-01-01,24305322.0055645
2022-04-01,24510630.9762304
2022-07-01,24392029.919515
2022-10-01,24477917.09869
