DATE,LFEACNTTISQ647S
2003-01-01,10111.9027673627
2003-04-01,10360.4304485509
2003-07-01,10886.5129193114
2003-10-01,11341.153864775
2004-01-01,10248.6142934396
2004-04-01,12109.9423805013
2004-07-01,11669.7889373783
2004-10-01,11971.654388680801
2005-01-01,12230.8401294261
2005-04-01,11761.592074623399
2005-07-01,11417.5911098165
2005-10-01,13389.976686134
2006-01-01,15514.6144633831
2006-04-01,14723.8707075451
2006-07-01,13996.2080826448
2006-10-01,14365.306746427
2007-01-01,16059.137351347399
2007-04-01,15486.506835710401
2007-07-01,15412.963761291101
2007-10-01,15641.392051651099
2008-01-01,17599.7146296577
2008-04-01,17636.504235336102
2008-07-01,18864.5528329588
2008-10-01,16399.228302047402
2009-01-01,11931.2653323072
2009-04-01,11665.2320866587
2009-07-01,11474.9736527286
2009-10-01,11028.528928305499
2010-01-01,11331.8543985979
2010-04-01,11365.5141970607
2010-07-01,10274.795402453201
2010-10-01,9127.836001888101
2011-01-01,9332.978530407021
2011-04-01,10167.2671924951
2011-07-01,10574.7414554643
2011-10-01,9825.01282163355
2012-01-01,9132.586138969611
2012-04-01,9069.39730767966
2012-07-01,9376.089860513719
2012-10-01,9321.92669283701
2013-01-01,10631.792597539601
2013-04-01,10171.3503061073
2013-07-01,10377.790185435098
2013-10-01,10919.066910918
2014-01-01,10831.9134956299
2014-04-01,10873.2353602161
2014-07-01,9578.506541608389
2014-10-01,10716.3446025456
2015-01-01,11433.441349230201
2015-04-01,11375.262359816601
2015-07-01,11877.9634335019
2015-10-01,10713.3328574514
2016-01-01,11335.674612208
2016-04-01,12578.413000926399
2016-07-01,11877.3078993894
2016-10-01,11508.604487476101
2017-01-01,11636.990056610999
2017-04-01,12082.9484137577
2017-07-01,12477.161298613
2017-10-01,13302.9002310183
2018-01-01,12837.472891184
2018-04-01,12587.3294134934
2018-07-01,12077.0851237889
2018-10-01,11898.1125715337
2019-01-01,13238.8851442357
2019-04-01,12992.0931047245
2019-07-01,12976.0869497817
2019-10-01,13892.934801258001
2020-01-01,12740.7344713941
2020-04-01,12296.186759103999
2020-07-01,13774.808797693799
2020-10-01,13688.2699718081
2021-01-01,14842.629103233101
2021-04-01,14898.8322416594
2021-07-01,16374.189011255
2021-10-01,16584.349643852398
2022-01-01,14843.4621567416
2022-04-01,15900.490870498199
2022-07-01,16274.605957539301
2022-10-01,18081.4410152208
